test,type,wall_time_s,user_time_s,sys_time_s,peak_mem_kb
"sunspider-1.0/3d-cube.js",main,0.010000,0.010000,0.000000,8484
"sunspider-1.0/3d-morph.js",main,0.010000,0.010000,0.000000,10028
"sunspider-1.0/3d-raytrace.js",main,0.020000,0.010000,0.000000,8564
"sunspider-1.0/access-binary-trees.js",main,0.010000,0.010000,0.000000,7996
"sunspider-1.0/access-fannkuch.js",main,0.030000,0.030000,0.000000,6364
"sunspider-1.0/access-nbody.js",main,0.010000,0.010000,0.000000,10424
"sunspider-1.0/access-nsieve.js",main,0.010000,0.010000,0.000000,7076
"sunspider-1.0/bitops-3bit-bits-in-byte.js",main,0.010000,0.000000,0.000000,6276
"sunspider-1.0/bitops-bits-in-byte.js",main,0.010000,0.010000,0.000000,6276
"sunspider-1.0/bitops-bitwise-and.js",main,0.020000,0.020000,0.000000,6260
"sunspider-1.0/bitops-nsieve-bits.js",main,0.030000,0.020000,0.000000,9772
"sunspider-1.0/controlflow-recursive.js",main,0.010000,0.000000,0.000000,6312
"sunspider-1.0/crypto-aes.js",main,0.020000,0.010000,0.000000,8604
"sunspider-1.0/crypto-md5.js",main,0.010000,0.000000,0.000000,7004
"sunspider-1.0/crypto-sha1.js",main,0.010000,0.010000,0.000000,7044
"sunspider-1.0/date-format-tofte.js",main,0,0,0,0
"sunspider-1.0/date-format-xparb.js",main,0.010000,0.010000,0.000000,10492
"sunspider-1.0/math-cordic.js",main,0.010000,0.010000,0.000000,6856
"sunspider-1.0/math-partial-sums.js",main,0.010000,0.010000,0.000000,10680
"sunspider-1.0/math-spectral-norm.js",main,0.010000,0.000000,0.000000,6340
"sunspider-1.0/regexp-dna.js",main,0.060000,0.060000,0.000000,13460
"sunspider-1.0/string-base64.js",main,0.010000,0.010000,0.000000,7612
"sunspider-1.0/string-fasta.js",main,0.020000,0.020000,0.000000,8924
"sunspider-1.0/string-tagcloud.js",main,0.050000,0.030000,0.010000,16432
"sunspider-1.0/string-unpack-code.js",main,0.050000,0.040000,0.000000,12668
"sunspider-1.0/string-validate-input.js",main,0.020000,0.010000,0.000000,11820
