test,type,wall_time_s,user_time_s,sys_time_s,peak_mem_kb
"sunspider-1.0/3d-cube.js",main,0.080000,0.070000,0.010000,49692
"sunspider-1.0/3d-morph.js",main,0.080000,0.060000,0.010000,50464
"sunspider-1.0/3d-raytrace.js",main,0.080000,0.070000,0.010000,49304
"sunspider-1.0/access-binary-trees.js",main,0.070000,0.060000,0.010000,48360
"sunspider-1.0/access-fannkuch.js",main,0.100000,0.090000,0.010000,46828
"sunspider-1.0/access-nbody.js",main,0.080000,0.070000,0.010000,49428
"sunspider-1.0/access-nsieve.js",main,0.070000,0.060000,0.010000,48524
"sunspider-1.0/bitops-3bit-bits-in-byte.js",main,0.070000,0.050000,0.010000,46900
"sunspider-1.0/bitops-bits-in-byte.js",main,0.080000,0.060000,0.020000,46736
"sunspider-1.0/bitops-bitwise-and.js",main,0.070000,0.060000,0.010000,46616
"sunspider-1.0/bitops-nsieve-bits.js",main,0.080000,0.070000,0.020000,49500
"sunspider-1.0/controlflow-recursive.js",main,0.070000,0.050000,0.010000,46952
"sunspider-1.0/crypto-aes.js",main,0.080000,0.060000,0.010000,48516
"sunspider-1.0/crypto-md5.js",main,0.070000,0.060000,0.010000,47304
"sunspider-1.0/crypto-sha1.js",main,0.070000,0.060000,0.010000,46884
"sunspider-1.0/date-format-tofte.js",main,0.070000,0.060000,0.000000,49248
"sunspider-1.0/date-format-xparb.js",main,0.070000,0.060000,0.010000,49300
"sunspider-1.0/math-cordic.js",main,0.080000,0.070000,0.010000,49588
"sunspider-1.0/math-partial-sums.js",main,0.080000,0.060000,0.010000,49500
"sunspider-1.0/math-spectral-norm.js",main,0.070000,0.060000,0.010000,48928
"sunspider-1.0/regexp-dna.js",main,0.090000,0.080000,0.010000,49652
"sunspider-1.0/string-base64.js",main,0.070000,0.050000,0.010000,48280
"sunspider-1.0/string-fasta.js",main,0.070000,0.060000,0.010000,49600
"sunspider-1.0/string-tagcloud.js",main,0.080000,0.060000,0.010000,51056
"sunspider-1.0/string-unpack-code.js",main,0.080000,0.060000,0.010000,51584
"sunspider-1.0/string-validate-input.js",main,0.070000,0.050000,0.010000,49888
