test,type,wall_time_s,user_time_s,sys_time_s,peak_mem_kb
"kraken-1.0/ai-astar-data.js",data,0.090000,0.070000,0.020000,56516
"kraken-1.0/ai-astar.js",main,0,0,0,0
"kraken-1.0/audio-beat-detection-data.js",data,0.070000,0.060000,0.010000,48836
"kraken-1.0/audio-beat-detection.js",main,0,0,0,0
"kraken-1.0/audio-dft-data.js",data,0.070000,0.060000,0.010000,49300
"kraken-1.0/audio-dft.js",main,0,0,0,0
"kraken-1.0/audio-fft-data.js",data,0.070000,0.060000,0.020000,49452
"kraken-1.0/audio-fft.js",main,0,0,0,0
"kraken-1.0/audio-oscillator-data.js",data,0.070000,0.060000,0.010000,49432
"kraken-1.0/audio-oscillator.js",main,0,0,0,0
"kraken-1.0/imaging-gaussian-blur-data.js",data,0.110000,0.090000,0.020000,63300
"kraken-1.0/imaging-gaussian-blur.js",main,0,0,0,0
"kraken-1.0/imaging-darkroom-data.js",data,0.110000,0.080000,0.020000,63912
"kraken-1.0/imaging-darkroom.js",main,0,0,0,0
"kraken-1.0/imaging-desaturate-data.js",data,0.110000,0.090000,0.010000,63728
"kraken-1.0/imaging-desaturate.js",main,0,0,0,0
"kraken-1.0/json-parse-financial-data.js",data,0.070000,0.060000,0.010000,47556
"kraken-1.0/json-parse-financial.js",main,0,0,0,0
"kraken-1.0/json-stringify-tinderbox-data.js",data,0.070000,0.060000,0.010000,49876
"kraken-1.0/json-stringify-tinderbox.js",main,0,0,0,0
"kraken-1.0/stanford-crypto-aes-data.js",data,0.080000,0.070000,0.010000,50480
"kraken-1.0/stanford-crypto-aes.js",main,0,0,0,0
"kraken-1.0/stanford-crypto-ccm-data.js",data,0.070000,0.050000,0.010000,51944
"kraken-1.0/stanford-crypto-ccm.js",main,0,0,0,0
"kraken-1.0/stanford-crypto-pbkdf2-data.js",data,0.060000,0.050000,0.010000,47356
"kraken-1.0/stanford-crypto-pbkdf2.js",main,0,0,0,0
