test,type,wall_time_s,user_time_s,sys_time_s,peak_mem_kb
"sunspider-1.0/3d-cube.js",main,0.070000,0.060000,0.020000,54672
"sunspider-1.0/3d-morph.js",main,0.070000,0.060000,0.010000,52872
"sunspider-1.0/3d-raytrace.js",main,0.080000,0.080000,0.010000,57064
"sunspider-1.0/access-binary-trees.js",main,0.070000,0.060000,0.010000,52144
"sunspider-1.0/access-fannkuch.js",main,0.070000,0.060000,0.010000,51192
"sunspider-1.0/access-nbody.js",main,0.070000,0.060000,0.010000,53536
"sunspider-1.0/access-nsieve.js",main,0.070000,0.050000,0.010000,52088
"sunspider-1.0/bitops-3bit-bits-in-byte.js",main,0.060000,0.050000,0.010000,50740
"sunspider-1.0/bitops-bits-in-byte.js",main,0.060000,0.050000,0.010000,50864
"sunspider-1.0/bitops-bitwise-and.js",main,0.060000,0.050000,0.010000,50700
"sunspider-1.0/bitops-nsieve-bits.js",main,0.070000,0.050000,0.010000,51396
"sunspider-1.0/controlflow-recursive.js",main,0.060000,0.050000,0.010000,50556
"sunspider-1.0/crypto-aes.js",main,0.080000,0.070000,0.010000,55196
"sunspider-1.0/crypto-md5.js",main,0.070000,0.050000,0.010000,52188
"sunspider-1.0/crypto-sha1.js",main,0.070000,0.060000,0.010000,51380
"sunspider-1.0/date-format-tofte.js",main,0.070000,0.060000,0.010000,53892
"sunspider-1.0/date-format-xparb.js",main,0.070000,0.060000,0.010000,53964
"sunspider-1.0/math-cordic.js",main,0.070000,0.050000,0.010000,52544
"sunspider-1.0/math-partial-sums.js",main,0.080000,0.060000,0.010000,53828
"sunspider-1.0/math-spectral-norm.js",main,0.070000,0.060000,0.010000,52384
"sunspider-1.0/regexp-dna.js",main,0.070000,0.060000,0.010000,49920
"sunspider-1.0/string-base64.js",main,0.080000,0.070000,0.010000,55388
"sunspider-1.0/string-fasta.js",main,0.070000,0.050000,0.020000,53636
"sunspider-1.0/string-tagcloud.js",main,0.080000,0.060000,0.020000,55604
"sunspider-1.0/string-unpack-code.js",main,0.080000,0.060000,0.010000,55196
"sunspider-1.0/string-validate-input.js",main,0.080000,0.060000,0.020000,54984
