test,type,wall_time_s,user_time_s,sys_time_s,peak_mem_kb
"ai-astar",combined,3.100000,3.090000,0.000000,8444
"audio-beat-detection",combined,0,0,0,0
"audio-dft",combined,0,0,0,0
"audio-fft",combined,0,0,0,0
"audio-oscillator",combined,0,0,0,0
"imaging-gaussian-blur",combined,9.910000,9.890000,0.020000,25932
"imaging-darkroom",combined,1.610000,1.590000,0.020000,27616
"imaging-desaturate",combined,3.090000,3.070000,0.020000,25804
"json-parse-financial",combined,0.080000,0.080000,0.000000,3584
"json-stringify-tinderbox",combined,0.090000,0.080000,0.000000,6256
"stanford-crypto-aes",combined,0.530000,0.530000,0.000000,5536
"stanford-crypto-ccm",combined,0.420000,0.420000,0.000000,5568
"stanford-crypto-pbkdf2",combined,0.990000,0.990000,0.000000,3584
"stanford-crypto-sha256-iterative",combined,0.310000,0.310000,0.000000,3456
