test,type,wall_time_s,user_time_s,sys_time_s,mem_before_kb,mem_after_kb,mem_change_kb
"octane/base.js",main,0.000427,0.000424,0.000002,2688,2944,256
"octane/richards.js",main,0.000290,0.000291,0.000000,2944,3200,256
"octane/deltablue.js",main,0.000535,0.000536,0.000000,3200,3200,0
"octane/crypto.js",main,0.001814,0.001814,0.000000,3328,3712,384
"octane/raytrace.js",main,0.000805,0.000806,0.000000,3712,3712,0
"octane/earley-boyer.js",main,0.007969,0.006401,0.001570,3840,4992,1152
"octane/regexp.js",main,0.002501,0.001389,0.001105,4992,5376,384
"octane/splay.js",main,0.000219,0.000218,0.000000,5376,5376,0
"octane/navier-stokes.js",main,0.000413,0.000413,0.000000,5376,5376,0
"octane/pdfjs.js",main,0.060761,0.053607,0.007121,6528,15712,9184
"octane/mandreel.js",main,0.160066,0.143931,0.015993,16068,44484,28416
"octane/gbemu-part1.js",main,0.001282,0.001260,0.000022,44484,44484,0
"octane/gbemu-part2.js",main,0.010702,0.010674,0.000000,44484,44484,0
"octane/code-load.js",main,0.000502,0.000502,0.000000,44484,44484,0
"octane/box2d.js",main,0.011767,0.011755,0.000000,44484,44484,0
"octane/zlib.js",main,0.000082,0.000082,0.000000,44484,44484,0
"octane/zlib-data.js",data,0.000636,0.000636,0.000000,44484,44484,0
"octane/typescript.js",main,0.000129,0.000129,0.000000,44484,44484,0
"octane/typescript-input.js",main,0.004101,0.004102,0.000000,44484,44484,0
"octane/typescript-compiler.js",main,0.037240,0.037185,0.000000,44484,44484,0
