test,type,wall_time_s,user_time_s,sys_time_s,mem_before_kb,mem_after_kb,mem_change_kb
"octane/base.js",main,0.000322,0.000000,0.000322,2688,2816,128
"octane/richards.js",main,0.000287,0.000000,0.000287,2944,3200,256
"octane/deltablue.js",main,0.000522,0.000521,0.000000,3200,3200,0
"octane/crypto.js",main,0.001874,0.001867,0.000000,3328,3584,256
"octane/raytrace.js",main,0.000795,0.000795,0.000000,3584,3584,0
"octane/earley-boyer.js",main,0.008146,0.007645,0.000481,3712,4864,1152
"octane/regexp.js",main,0.002503,0.002503,0.000000,4864,5116,252
"octane/splay.js",main,0.000209,0.000210,0.000000,5116,5116,0
"octane/navier-stokes.js",main,0.000415,0.000415,0.000000,5116,5116,0
"octane/pdfjs.js",main,0.058984,0.053986,0.004983,6396,15652,9256
"octane/mandreel.js",main,0.158455,0.149503,0.008954,15964,44636,28672
"octane/gbemu-part1.js",main,0.001275,0.001256,0.000020,44636,44636,0
"octane/gbemu-part2.js",main,0.009305,0.009292,0.000013,44636,44636,0
"octane/code-load.js",main,0.000534,0.000534,0.000000,44636,44636,0
"octane/box2d.js",main,0.011924,0.011925,0.000000,44636,44636,0
"octane/zlib.js",main,0.000105,0.000104,0.000000,44636,44636,0
"octane/zlib-data.js",data,0.000658,0.000658,0.000000,44636,44636,0
"octane/typescript.js",main,0.000162,0.000162,0.000000,44636,44636,0
"octane/typescript-input.js",main,0.004126,0.004126,0.000000,44636,44636,0
"octane/typescript-compiler.js",main,0.037135,0.037136,0.000000,44636,44636,0
