test,type,wall_time_s,user_time_s,sys_time_s,peak_mem_kb
"sunspider-1.0/3d-cube.js",main,0.010000,0.000000,0.000000,22784
"sunspider-1.0/3d-morph.js",main,0.010000,0.000000,0.010000,23296
"sunspider-1.0/3d-raytrace.js",main,0.010000,0.010000,0.010000,25216
"sunspider-1.0/access-binary-trees.js",main,0.010000,0.000000,0.010000,22912
"sunspider-1.0/access-fannkuch.js",main,0.010000,0.010000,0.000000,21248
"sunspider-1.0/access-nbody.js",main,0.010000,0.000000,0.010000,21120
"sunspider-1.0/access-nsieve.js",main,0.010000,0.000000,0.000000,22272
"sunspider-1.0/bitops-3bit-bits-in-byte.js",main,0.010000,0.000000,0.000000,19072
"sunspider-1.0/bitops-bits-in-byte.js",main,0.010000,0.000000,0.010000,21504
"sunspider-1.0/bitops-bitwise-and.js",main,0.010000,0.000000,0.010000,21504
"sunspider-1.0/bitops-nsieve-bits.js",main,0.010000,0.010000,0.000000,23680
"sunspider-1.0/controlflow-recursive.js",main,0.010000,0.000000,0.000000,20608
"sunspider-1.0/crypto-aes.js",main,0.010000,0.000000,0.010000,24188
"sunspider-1.0/crypto-md5.js",main,0.010000,0.000000,0.010000,23808
"sunspider-1.0/crypto-sha1.js",main,0.010000,0.000000,0.010000,24192
"sunspider-1.0/date-format-tofte.js",main,0.010000,0.000000,0.010000,24036
"sunspider-1.0/date-format-xparb.js",main,0.010000,0.000000,0.010000,22272
"sunspider-1.0/math-cordic.js",main,0.010000,0.000000,0.010000,23808
"sunspider-1.0/math-partial-sums.js",main,0.010000,0.010000,0.000000,26240
"sunspider-1.0/math-spectral-norm.js",main,0.010000,0.000000,0.010000,19456
"sunspider-1.0/regexp-dna.js",main,0.010000,0.000000,0.010000,17704
"sunspider-1.0/string-base64.js",main,0.010000,0.000000,0.010000,23680
"sunspider-1.0/string-fasta.js",main,0.010000,0.010000,0.000000,25216
"sunspider-1.0/string-tagcloud.js",main,0.010000,0.000000,0.010000,25532
"sunspider-1.0/string-unpack-code.js",main,0.010000,0.010000,0.000000,22060
"sunspider-1.0/string-validate-input.js",main,0.010000,0.000000,0.010000,25100
